what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1329820104284
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1329820105065
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1329820107596
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329820107596
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820112518
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820135175
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820135768
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820165581
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820166394
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820280255
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820281880
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820285301
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820287505
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820290130
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820291645
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820315849
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820319693
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820332958
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820335521
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329820338130
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.cleanAction,1329820338162
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1329820345662
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1329820345740
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1329820345740
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1329820349787
