what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329819186928
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819187444
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819206616
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1329819210756
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1329819211241
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1329819211444
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1329819211663
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1329819212085
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1329819213147
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329819216413
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819216835
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819226882
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329819228319
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819228772
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819235554
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1329819238257
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329819238929
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819239538
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819283367
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1329819285086
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329819285086
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819289742
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819521604
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819522323
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329819718654
