what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.maximizePart,1329805319133
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1329805322993
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329805323727
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805324837
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805327228
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1329805329838
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329805330916
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805332291
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805335401
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805338776
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805340073
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329805343526
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805344042
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805347089
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1329805349198
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1329805349823
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805350339
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1329805374730
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1329805376949
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329805376949
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329805376949
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329805381136
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1329805381183
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.maximizePart,1329805382183
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1329805386261
